land,datum,uhrzeit,postleitzahl,stadt,treffpunkt,protestform,livestream
DE,2020-10-09,12:00:00,10178,Berlin,Alexanderplatz,Kundgebung,https://demo.stream/mariagoetz
DE,2020-10-09,16:00:00,90429,Nürnberg,Jakobsplatz,Demonstration,
DE,2020-10-09,16:30:00,10627,Berlin,Schillerstr. 71,Demonstration,https://youtu.be/_-1V6I2hprA
AT,2020-10-09,17:00:00,1010,Wien,Ballhausplatz,Menschenkette,
DE,2020-10-09,17:00:00,74889,Sinsheim,Burgplatz,Vortrag,
DE,2020-10-09,17:00:00,74889,Sinsheim,Burgplatz,Kundgebung,
DE,2020-10-09,17:00:00,91217,Hersbruck,Marktplatz,Kundgebung,
DE,2020-10-09,17:00:00,51515,Bergisch Gladbach,Trotzenburger Platz,Kundgebung,
DE,2020-10-09,17:00:00,51465,Bergisch Gladbach,Hauptstr. 164,Kundgebung,
DE,2020-10-09,17:30:00,73614,Schorndorf,Oberer Marktplatz,Kundgebung,
DE,2020-10-10,10:00:00,24340,Eckernförde,Hafenspitze,Kundgebung,
DE,2020-10-10,10:00:00,24340,Eckernförde,Hafenspitze,Kundgebung,
DE,2020-10-10,10:00:00,15831,Blankenfelde Mahlow,B96/Krügers Land,Menschenkette,
DE,2020-10-10,10:00:00,10117,Berlin,US Botschaft am Brandenburger,Kundgebung,
DE,2020-10-10,11:00:00,02763,Zittau,Neustadt Herkukesbrunnen,Kundgebung,
DE,2020-10-10,11:00:00,79312,Emmendingen,Kleiner Marktplatz,Kundgebung,
DE,2020-10-10,11:30:00,83435,Bad Reichenhall,Rathausplatz,Kundgebung,
DE,2020-10-10,11:55:00,10707,Berlin,Adenauer Platz,Spaziergang,
DE,2020-10-10,11:59:00,10629,Berlin,Adenauerplatz Schweigemarsch,Sonstiges,
UK,2020-10-10,12:00:00,G1 5,Glasgow,Glasgow Green beim Obelisken,Demonstration,
DE,2020-10-10,13:00:00,50321,Brühl,Markt/Höhe Kreissparkasse,Kundgebung,
DE,2020-10-10,13:00:00,83646,Bad Tölz,Marktstr. / beim Winzerer Denkmal,Kundgebung,
DE,2020-10-10,13:15:00,31789,Hameln,Pferdemarkt,Kundgebung,
DE,2020-10-10,13:15:00,31785,Hameln,Hochzeitshausterrasse,Kundgebung,
DE,2020-10-10,13:15:00,31789,Hameln,Pferdemarkt,Kundgebung,
DE,2020-10-10,13:30:00,60313,Frankfurt/Main,Opernplatz 1 / Alte Oper,Spaziergang,
DE,2020-10-10,13:45:00,30159,Hannover,Rudolf-Hillebrecht-Platz,Autokorso,
IT,2020-10-10,14:00:00,00184,Roma,Piazza San Giovanni,Demonstration,https://cutt.ly/ifxC3Q7
DE,2020-10-10,14:00:00,64385,Reichelsheim,B 38 Ortseingang Aldi,Kundgebung,
DE,2020-10-10,14:00:00,14471,Potsdam,Luisenplatz,Kundgebung,
DE,2020-10-10,14:00:00,14471,Potsdam,Luisenplatz,Kundgebung,
DE,2020-10-10,14:00:00,80239,München,Innenstadt,Flashmob,
DE,2020-10-10,14:00:00,79539,Lörrach,Marktplatz,Mahnwache,
DE,2020-10-10,14:00:00,56068,Koblenz,M�nzplatz,Mahnwache,
DE,2020-10-10,14:00:00,36037,Fulda,Bahnhofsplatz,Kundgebung,
DE,2020-10-10,14:00:00,83395,Freilassing,Fußgängerzone,Kundgebung,
DE,2020-10-10,14:00:00,99084,Erfurt,Wenigemarkt,Flashmob,
DE,2020-10-10,14:00:00,53111,Bonn,Hofgarten,Demonstration,
DE,2020-10-10,14:30:00,26382,Wilhelmshaven,Pacific Cafe,Spaziergang,
DE,2020-10-10,14:30:00,24768,Rendsburg,Schiffbrückenplatz,Versammlung,
DE,2020-10-10,14:30:00,79098,Freiburg,Platz der alten Synagoge,Demonstration,
DE,2020-10-10,14:30:00,25335,Elmshorn,Nikolai-Kirche,Spaziergang,
CH,2020-10-10,14:30:00,4001,Basel,Rümelinsplatz,Vortrag,
AT,2020-10-10,15:00:00,1010,Wien,Stephansplatz,Kundgebung,
DE,2020-10-10,15:00:00,33098,Paderborn,Domplatz,Kundgebung,
DE,2020-10-10,15:00:00,48529,Nordhorn,Marktplatz Alte Kirche am Mark,Kundgebung,
DE,2020-10-10,15:00:00,91054,Erlangen,Schlossplatz,Kundgebung,
DE,2020-10-10,15:00:00,69412,Eberbach,Neuer Markt,Versammlung,
DE,2020-10-10,15:00:00,44137,Dortmund,Friedensplatz,Kundgebung,
DE,2020-10-10,15:00:00,40213,Düsseldorf,Grabbeplatz/Kunstmuseum,Spaziergang,
DE,2020-10-10,15:00:00,77815,Bühl,Europaplatz,Kundgebung,
DE,2020-10-10,15:00:00,55543,Bad Kreuznach,Kornmarkt,Kundgebung,
DE,2020-10-10,15:00:00,26603,Aurich,Marktplatz,Spaziergang,
DE,2020-10-10,15:00:00,92224,Amberg,Marktplatz,Kundgebung,
DE,2020-10-10,15:00:00,22926,Ahrensburg,Parkplatz Schlossbrücke,Spaziergang,
DE,2020-10-10,15:00:00,52064,Aachen,Marktplatz,Kundgebung,
DE,2020-10-10,15:30:00,91541,Rothenburg,Kirchplatz,Demonstration,
DE,2020-10-10,15:30:00,18057,Rostock,Universitätsplatz am Brunnen,Kundgebung,
DE,2020-10-10,15:30:00,87600,Kaufbeuren,Obstmarkt (Fußgängerzone),Meditation,
DE,2020-10-10,15:30:00,35398,Gießen,Seltersweg/ Kugelbrunnen,Mahnwache,
DE,2020-10-10,15:30:00,35398,Gießen,Seltersweg / Katharinengasse,Demonstration,
DE,2020-10-10,15:30:00,99084,Erfurt,Anger 1,Kundgebung,
DE,2020-10-10,15:30:00,44787,Bochum,Husemannplatz,Kundgebung,
DE,2020-10-10,16:00:00,48143,Münster,Stubengasse,Kundgebung,
DE,2020-10-10,16:00:00,28199,Bremen,Bahnhofsvorplatz / Wiese,Kundgebung,
DE,2020-10-10,18:00:00,91301,Forchheim,Paradeplatz,Kundgebung,
DE,2020-10-11,10:00:00,02730,Ebersbach-Neugersdorf,B 96 Zittau bis Sassnitz,Menschenkette,
DE,2020-10-11,10:45:00,75015,Bretten,Marktplatz,Meditation,
DE,2020-10-11,11:00:00,10117,Berlin,Brandenburger Tor,Kundgebung,
DE,2020-10-11,14:00:00,25524,Itzehoe,Berliner Platz,Vortrag,
DE,2020-10-11,15:00:00,54516,Wittlich,Platz an der Lieser,Versammlung,
DE,2020-10-11,15:30:00,82140,Olching (FFB),Nöscherplatz,Kundgebung,
DE,2020-10-11,15:30:00,90431,Nürnberg,Westpark,Kundgebung,
DE,2020-10-11,15:30:00,91301,Forchheim,Nürnberg Westp. 3.Schülerdemo,Kundgebung,
DE,2020-10-12,14:00:00,17489,Greifswald,Domstr. 54 / Dom / A. Merkel,Gegenprotest,
